bottom,coord_system,file_link,file_name,file_number,height,left,right,top,width
238000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k01.zip!/GeoTIFF/DHMVIIDTMRAS1m_k01.tif,DHMVIIDTMRAS1m_k01.zip,1.0,9000.0,145000.0,162000.0,247000.0,17000.0
238000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k02.zip!/GeoTIFF/DHMVIIDTMRAS1m_k02.tif,DHMVIIDTMRAS1m_k02.zip,2.0,12000.0,162000.0,194000.0,250000.0,32000.0
238000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k03.zip!/GeoTIFF/DHMVIIDTMRAS1m_k03.tif,DHMVIIDTMRAS1m_k03.zip,3.0,10000.0,194000.0,206000.0,248000.0,12000.0
218000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k04.zip!/GeoTIFF/DHMVIIDTMRAS1m_k04.tif,DHMVIIDTMRAS1m_k04.zip,4.0,7500.0,53000.0,66000.0,225500.0,13000.0
218000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k05.zip!/GeoTIFF/DHMVIIDTMRAS1m_k05.tif,DHMVIIDTMRAS1m_k05.zip,5.0,14000.0,66000.0,98000.0,232000.0,32000.0
218000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k06.zip!/GeoTIFF/DHMVIIDTMRAS1m_k06.tif,DHMVIIDTMRAS1m_k06.zip,6.0,9000.0,98000.0,130000.0,227000.0,32000.0
218000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k07.zip!/GeoTIFF/DHMVIIDTMRAS1m_k07.tif,DHMVIIDTMRAS1m_k07.zip,7.0,20000.0,130000.0,162000.0,238000.0,32000.0
218000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k08.zip!/GeoTIFF/DHMVIIDTMRAS1m_k08.tif,DHMVIIDTMRAS1m_k08.zip,8.0,20000.0,162000.0,194000.0,238000.0,32000.0
218000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k09.zip!/GeoTIFF/DHMVIIDTMRAS1m_k09.tif,DHMVIIDTMRAS1m_k09.zip,9.0,20000.0,194000.0,226000.0,238000.0,32000.0
218000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k10.zip!/GeoTIFF/DHMVIIDTMRAS1m_k10.tif,DHMVIIDTMRAS1m_k10.zip,10.0,9000.0,226000.0,238000.0,227000.0,12000.0
198000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k11.zip!/GeoTIFF/DHMVIIDTMRAS1m_k11.tif,DHMVIIDTMRAS1m_k11.zip,11.0,8500.0,18500.0,34000.0,206500.0,15500.0
198000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k12.zip!/GeoTIFF/DHMVIIDTMRAS1m_k12.tif,DHMVIIDTMRAS1m_k12.zip,12.0,20000.0,34000.0,66000.0,218000.0,32000.0
198000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k13.zip!/GeoTIFF/DHMVIIDTMRAS1m_k13.tif,DHMVIIDTMRAS1m_k13.zip,13.0,20000.0,66000.0,98000.0,218000.0,32000.0
198000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k14.zip!/GeoTIFF/DHMVIIDTMRAS1m_k14.tif,DHMVIIDTMRAS1m_k14.zip,14.0,20000.0,98000.0,130000.0,218000.0,32000.0
198000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k15.zip!/GeoTIFF/DHMVIIDTMRAS1m_k15.tif,DHMVIIDTMRAS1m_k15.zip,15.0,20000.0,130000.0,162000.0,218000.0,32000.0
198000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k16.zip!/GeoTIFF/DHMVIIDTMRAS1m_k16.tif,DHMVIIDTMRAS1m_k16.zip,16.0,20000.0,162000.0,194000.0,218000.0,32000.0
198000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k17.zip!/GeoTIFF/DHMVIIDTMRAS1m_k17.tif,DHMVIIDTMRAS1m_k17.zip,17.0,20000.0,194000.0,226000.0,218000.0,32000.0
198000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k18.zip!/GeoTIFF/DHMVIIDTMRAS1m_k18.tif,DHMVIIDTMRAS1m_k18.zip,18.0,20000.0,226000.0,258000.0,218000.0,32000.0
178000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k19.zip!/GeoTIFF/DHMVIIDTMRAS1m_k19.tif,DHMVIIDTMRAS1m_k19.zip,19.0,20000.0,17000.0,34000.0,198000.0,17000.0
178000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k20.zip!/GeoTIFF/DHMVIIDTMRAS1m_k20.tif,DHMVIIDTMRAS1m_k20.zip,20.0,20000.0,34000.0,66000.0,198000.0,32000.0
178000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k21.zip!/GeoTIFF/DHMVIIDTMRAS1m_k21.tif,DHMVIIDTMRAS1m_k21.zip,21.0,20000.0,66000.0,98000.0,198000.0,32000.0
178000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k22.zip!/GeoTIFF/DHMVIIDTMRAS1m_k22.tif,DHMVIIDTMRAS1m_k22.zip,22.0,20000.0,98000.0,130000.0,198000.0,32000.0
178000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k23.zip!/GeoTIFF/DHMVIIDTMRAS1m_k23.tif,DHMVIIDTMRAS1m_k23.zip,23.0,20000.0,130000.0,162000.0,198000.0,32000.0
178000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k24.zip!/GeoTIFF/DHMVIIDTMRAS1m_k24.tif,DHMVIIDTMRAS1m_k24.zip,24.0,20000.0,162000.0,194000.0,198000.0,32000.0
178000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k25.zip!/GeoTIFF/DHMVIIDTMRAS1m_k25.tif,DHMVIIDTMRAS1m_k25.zip,25.0,20000.0,194000.0,226000.0,198000.0,32000.0
178000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k26.zip!/GeoTIFF/DHMVIIDTMRAS1m_k26.tif,DHMVIIDTMRAS1m_k26.zip,26.0,20000.0,226000.0,258000.0,198000.0,32000.0
158000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k27.zip!/GeoTIFF/DHMVIIDTMRAS1m_k27.tif,DHMVIIDTMRAS1m_k27.zip,27.0,20000.0,20000.0,34000.0,178000.0,14000.0
158000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k28.zip!/GeoTIFF/DHMVIIDTMRAS1m_k28.tif,DHMVIIDTMRAS1m_k28.zip,28.0,20000.0,34000.0,66000.0,178000.0,32000.0
158000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k29.zip!/GeoTIFF/DHMVIIDTMRAS1m_k29.tif,DHMVIIDTMRAS1m_k29.zip,29.0,20000.0,66000.0,98000.0,178000.0,32000.0
158000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k30.zip!/GeoTIFF/DHMVIIDTMRAS1m_k30.tif,DHMVIIDTMRAS1m_k30.zip,30.0,20000.0,98000.0,130000.0,178000.0,32000.0
158000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k31.zip!/GeoTIFF/DHMVIIDTMRAS1m_k31.tif,DHMVIIDTMRAS1m_k31.zip,31.0,20000.0,130000.0,162000.0,178000.0,32000.0
158000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k32.zip!/GeoTIFF/DHMVIIDTMRAS1m_k32.tif,DHMVIIDTMRAS1m_k32.zip,32.0,20000.0,162000.0,194000.0,178000.0,32000.0
158000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k33.zip!/GeoTIFF/DHMVIIDTMRAS1m_k33.tif,DHMVIIDTMRAS1m_k33.zip,33.0,20000.0,194000.0,226000.0,178000.0,32000.0
158000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k34.zip!/GeoTIFF/DHMVIIDTMRAS1m_k34.tif,DHMVIIDTMRAS1m_k34.zip,34.0,20000.0,226000.0,258000.0,178000.0,32000.0
158000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k35.zip!/GeoTIFF/DHMVIIDTMRAS1m_k35.tif,DHMVIIDTMRAS1m_k35.zip,35.0,11000.0,258000.0,264000.0,169000.0,6000.0
151000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k36.zip!/GeoTIFF/DHMVIIDTMRAS1m_k36.tif,DHMVIIDTMRAS1m_k36.zip,36.0,7000.0,34000.0,66000.0,158000.0,32000.0
150000.0,EPSG:31370,zip+https://downloadagiv.blob.core.windows.net/dhm-vlaanderen-ii-dtm-raster-1m/DHMVIIDTMRAS1m_k37.zip!/GeoTIFF/DHMVIIDTMRAS1m_k37.tif,DHMVIIDTMRAS1m_k37.zip,37.0,8000.0,66000.0,98000.0,158000.0,32000.0
